modulus,success,factor_p,factor_q,divisions_tried,elapsed_seconds
"CF3EC966A8A09417FBD5406BA8EAA67FE0F347B1CE308403482237C0C6D5BAF93BA81ABFECF63BE006E21B80A94433182816D5E364C5E9FFC275C28AB8909A42D5148CC7223B830BA954ADDCEA1F4A5ED321B2990B81C0DDA1DC7B09A0D092CD075E043C92B062035A0D1B94492405AA0275864024FCC1F9A32FC5BFD28C81D299A2AEF66C04B8380B105C0204D50FED290722C3324953BC2E0A128B3C0E86C9F42C01AE78099FEA1C68477071C60909734E0E173FBFCD8D045B6038BF2FED5DD3FC1DA0420EEC675E0DF20443A0806B2D6885A71DD081D159C86D34231CC6AF5DE53E1FAC874204AD9A2BBD306DAE16AF529984E9BDBA157E6F6BD25D9603FADC222EFF73DE1763899B4C75E61829198DEFA7B74243DDC01D43735DA7090E12FB9E925A2B561678D940E2DDBF91FD7EFC9BA859D64B7CDEDACB63C97A36B899476958733A1790148D3373DF2B64804D672547EFE8414E6B99A04FB44AB4B96B5C597BA3135A7AFEE42739D7865184BE62919F47D2508C54BB33F940C2A9922C8C9CC203899308FDC7DD8E5F59C0C58A4D6C0FA94FE6A5BF84EC478B81F976C32C3422A2780FE9EE2C27F25E9AA4DE87DD32E4FB2BEEBA62389620A161A9D52495174C2A0905FB923CC7F4194EFF4A9CDC79441925E91123BD2ACD861616DE229252BAFD707B4A73F4ADDF4CE7B960DAA826042025D0FA658F49B2ED7EDD29A7",0,"","",0,0.0000
"C388A06404F310FE04D269463EB52C6165D89D21DA4013120D1F17AA6E55371E6F8C4C53B83CB6E5606A6828DA30410321E4E3A3F8E21E6670039E281A719BA1E556996036F600BA438A9FC994166AD6FBD3EEC4B5C14D92C927953DDFDF767A5CAD1ABF39309AF855010DB24D5004C5D97523F07FB4C9462F5A8B47189599D853CBE7D0CF0660DC7A3BE5205BD64EAD7441A4455C66A902392A586942E7C0F3F12D6DFBCD7EFA5D1875AA09EAF05B0127E488799E65C93B19C11E592624E18603806AE7EE38C2288724815788686E9690C531C8A41B0DAC310B8C197C6A48DF2508735A182FD787D4E014E37D5128555EF13FD3F1A6A1BFD8DC6F166A249D9CE8F803080504D711FBAEC57F29ADF193DAB9B07A878D5FC5D41916CC2065CD960E0950460EF4A8909F2384F4DD17C39832D1C212542B38958087BF45E744632DB26668580D21FFD2A158EFFDB712D5253319BAB14A7EBBFB8459EE702674027497DE5F7EAC326C184A9C0FD4B6A41D7C4BDC556509763252E8A3E03BAF72B26067E8B5D1637CDB422EA80842A4124322980D31B6655CA4E61E040DF0ED94BEF6DCC614C061316ED22B35AB4386AB2B7DB4402B2968ED0A3B7BAE5DF2298078C7A2C4504DA3D9F15E6BCBCBE5CC686453290AC5B10055B92C8C6DE283A40D2A93C2BF782148874A08B80F7E3A8ED748B8A87B98660D794C2C10D68887AA8FBD13",0,"","",0,0.0000
"E817412EC2300A1795356010401EB8FF8F8729C79F6CDC3C89555EFF7293C4B4437577BFD3D4132644099938C3DAC7BC0DCF01CA08C424E7115C6CA06F630A9BF7B98D874A52C94461F1F112C4DA3E11E2A2EB99852B6475D4B42ADE15D98D0867E83F2012A559F063CAA4BF5967621847523AEECFB5400F4014EE60B34FB98836340476511B4C687650CCCFD05EE51773468F3375AC74841ED46459FF5950B71689E4B2F6F107AD5DFED80E94DAE3DE0123A05C70A231B1467E6401234EA4EA14282D77F820CC17001043F90B9A209617562C01AE12D363DFAF3D17CF3C577B6C411675EB21389F1E1D29D5441486B4E784108FBECFC47A2A61B7D965E3E27A260568A179E4F4310617C80720297CD90F3E4218B8855D4162148FCAFFFC62529BCC32BA26AAB535F9432713718359F70E706399DF4E0477D76013360D78BC16068927740D12FF67C593A9323B0A566401C4CE31E69BB1ED5A9CBD350A68BC22649661993B75EA6270AEE6E50A35475E80F4CD91F737D6801C4571A7ED7B26F8A03CC2F73E2947F87DF040F6B53A2C58EBE2234CA2B3E1EA74BC2E24F708E4BF32C6A94C47A99D4BF36C9ACAC5A245792162055F1F7E25C6F6F183E27ED4044AFB60907528BEA50E01B1EAE26F91AC2CA803E571F8606314DD1FFE981151AE2DC63A2DB63662C1299DE76D3843BF372334A5654CB66EA8C507C78BE5B8F403D3",0,"","",0,0.0000
"AC18E9D7F330A385BE1FED7201F7F8E2B845623E4D8F194E42479C1C88D7D8ADA0206E430DE24A885016567EFC031E917E4049E8672FD22D0816B32820CA56043560B446229A410DA5FBF2335907DCE2906336E01120ECCE5676D940E17222140A0081CD60080CDB005D318F085C9CD9F0EAD68497ECA3F073425F471AF0C4A05EE5CB7FB94EBFC9E7B6F9CA4C4A570ACF200A7F513C3B3BCE723F9162CAC524895283B7156F02CA3C108C2619E4F2F59E2A7462D5BC51ABCC99EB7A9C30402A2782BC682E6F2AB7D322E1F8E722E306231134DD9D847A9E4ACC83588E274E43E042463F653E72630B41CE196A6BA23FC86149088BE6837E328BD7F5CBB1CB7ECBD0571CA053CD23D9C20CBAACDE610504AF24F55996CAF5D2873873F9AE154D51A61A4874624DE6FA246CB49A2A7A5D44D05472DB9D8CB91BCB0F0BC4B80F741EBA1FB720F6A24D46CD4E09C51257DD3589BB5B31F44FF0B75E72DD92EF5EE443A307162C5314B8F91C1AEFE6EA666F12513F66FF440F7A7230F5E24795995FAA3C225E199D12CD625A18D1CC15799004AE3101D86CBB7C9E7A553895395CBAEB166802D9FCF6DE0D7F95CBD441D0F51E889094C7DB5BDFE4F351B25CBEAB2A52029B68AFB21F7B66E6F0340D62958DAF5B0E0C44FB7491DE8611A9579FD95A818FDD3CA85E884369E05B77905A6F7F16F9072080931B3A2B55CC405E6CDF55",0,"","",0,0.0000
"DE1EB0AE068447B2F65F122A54B96D6171CA4486FF7FF95F08287901A80475729232CA6CC1E5361C2FC137F20D80BF653A6C4571A805C513F1D95B74D888D06F908C7B14EFFA0B283A3C93C176A599A75FC34280AEF203A8F3255E4349504BDBDA44FC15A996EAC1992152566408FBEA7970EAD599CA690A8DC7A5B46D0B31E6E60B83593C75DC2D9FBBC21549B17AAF236510484CD11DD1F897141D1B69862DE5DA78FA558CE9302886E5AF76334AB73A7768182E944292A7405167B7BF27F3158F43D2722AD9EFBC4164F8CD1C48007E67A1097D8C5AF8D0CC47F71115AEB2A29BDF118F80352472C15BD07CFF9411146C67BF7397D6E3ACF52298374E586DC0DFAEDC044F04BC7FBEA27D7525E8EFF89C5026B2642AC004073B1BF69A5695F17302AADD012496E05EF6C1DB4D8E9E74CCBA4BABA4F4EE1C9E83D9422253EB959496CF1DA7392765523041B580511BD0360AE7DDCF5C374BEA87F938F61D211780F2AECD68CDB5C934E2D4E90C38A2E001DD7EEF8A03310EC9F7400A772B1B5D3839F686A0C92BD9F4828D001AE1A042836A1AFEDA9F72BC36896E650AC4E51825F95EC5FD40396808751FD13B2C0DC39F5E592B78187A1AC512635D48BA97E62CA783F18A4A7142FF1787096660E322AC72D2054DE71ECF9A543FF35713EDF596270F24A4CF7C5E05A063965D5355B7707519B7CA3D5E751F07484D2A6961",0,"","",0,0.0000
"B94CC8A7DE23B724EAA760CAEF673015FB29D2445B1E1352A4E387AC8EC3259F1BBA4515D66EDF57383F39E0737E681236D98F424FD7710E4ACC2E79D7DE533E267DB27799EAA90A786D5A1C7F434D43F02A63791E7D7B7D00C842A1D420D928E2A956FCF9EDD75D4AD0875869188F5785E4A715728986269CF226843FFADDB036F0285EAFF4310F27BB9C64EB3A9288D3D30541AA405DA02093014C1AE56603DAED88EF6CA1FE44B4D32D7644A6E989A2158227505461550DBAB1A1E72A6724D5A3B3DA91FAC3C22DAE15DA21152B8FF237BAAA0244A7CE26A358A4444DD1C36B6F4E1DE0335FB22E26B941EED5C6FED50894278A54263972047077D02A53BA0B0FF24A979D8703DF7D040FAECD9A3C4A81596CE979470F93248A4A3546CFC84AF52D2C6BAEE190E15EC388812042A28D844007A6BBDAAF158F001ECAD34974D8751B80E24FAC29DC4F0CB94304315079CF3EBFE50B35BE0BD42329049A9CA209ABDD3874E69665BD9A9386361D027E4B3419C64B1F9E40949EE2AA05C37B5FA5DD7EBB6A19C28E77DE5D75FEA4EE61C6C226548D4D6648977FB8C22398C640721C4450535C6A62AB10EAF9B9B5B11860EF5F3341889B963DC14581A9D12F360623980F7D2C54F3D5E7ED01E9412B4F4F006C84A6C1C3EF0ACCDF43C61F1BB3A5DEB1F0B469C67445444293C2F82D1B6C120D5ABFF1A9750DEB1695DD997B2D",0,"","",0,0.0000
"C38EDC4D5153822385BADF6A87EB1DC70E408F0D2E90D9833869EFD73529C643F395466BBC071FD24B5F1BA10D14A47F96979AB2D28787A12926630B686538CFD0A1424856988EA595962B46AD1A07F5F320B29A875DB7E8D390E8295E21C88435B58EE93A8090DF07D92D5E8F39D1A86F617BD00437513D7EEFEE314FEC1C805801140C7C80EE310F8464EED8E5B026A3C545C2FE54B6911F49058214C3E4FD96620F12A157DBBDE7B361A6C13ACD1C60E099C091D22506E8DECC4A59BC1B29368C664538432F710C8625DEC29D86823CC1F6C73C095F8066BB6B48007DBFCC059C9F548316AE3F6D6119B114BF501BF55751DBA5AD456FB877D9078DFBA8D415CBD5BDCD031CC1F9E7B98F61747719FF5808D63C6AE1B992C5D16766F28AC6030BBE021554AEE5AD6C37DC7432996B2D70C9BF8446EA6A94D56A12C269F2227E78C054304CB3D8CE03AB1E59ED28ED4843E7154BAC259AF7A1F710BC5348B20DCEB8376D9B2A3AC5F4A59B27CA2820B7C775046A330ECBCAFE3209DCFD5591A1F840827B03050E56DD2FF695383E398AC7DCA1CB226A07D769A215FE3857F7D46183AF5D87B98034B7656B85890A9194272548BBAEDFC3989B71B2C38F571FE7B0330EF528AB545147086A81E0C60F4431F925294F22DD129149236FD95909D8DB107C0F7CF95006CC99AAD9B08B8CF3A7AC36725A7AAF384B1D0F8C7F341F",0,"","",0,0.0000
"B01209E80A5109EDB06339DA449460707C76E613A0F0A0043633F3133E62D5702F207A4880355916BC143CAA33F90A87293DBC2013E6CD523A6F69B734E10D3702CF8ABD536709B7139AB35AD402A2DA4440504EDD20EA6628C8B292A6DA75699E0AE28AAFD9AEFE85F6C864404AB87ACAF466F6D62B8CD34533229BAD1305BD9DB1DE488598E999D0C9B9D96BE9C9115B778F52B7C021DFAE2A43BD215D485E061D132FCC08D39337AFCB731535A4531C1F38D4439DC6C34131B8382203F049908B84C4548639B990AD32074BA331CC10C11C4FA9E7A6E1DF7DE882556F673767DA914CD4CC4801ECE07F43DDB17F793D8B81F8F7600D68601CE2AE928072607785238567408E4EB1D26C0E382DEBE6552C9BB3F1DA1AC1450EAB0F1593DBDBA539967B906EA7DAC19BF6138C52246F67DA231D717FEA1A5CD2421D426A2D9B3BA938D8F1CCF9D474863D02D45642C95E9019F4FED463E659FE27C27DA11A7DF295BB9653515A9F588BED93DE1A7E80713F087C0C256796DFC5077189E3259084E920C0565469E7885329036B5588BC4CBA502FDD54F538387DA2E158BBAD2B6A652EDC73BA7F9CCDF0E42CB8D61AF4EDA800B5C370316880B7B1608CA3BB276053E0776AFC10264EB34A132BB9F9E15245E1A8CCC621D8EFC40DD9202598306AF10B08270287B639F31AE2FF3196AB265A4D3FB137438A1210EB43E3845097",0,"","",0,0.0000
"C617472280579D8C21724EB950848F048597D21C13021173073CB103904C8FF44FEBE711490C309E77798A9620D03FF17658424BBEED45109BB477FA09C5240CEAE49F17291D6583DBB53C099F46DF1C9749C23E8B579DA37258E0078202634F1BA4C024B7156F48FAA9273BBA47F5BE502E149BC8B7A2A25D345AA951B2B3DCC3C95A8693912AED7F4A925348DEED7E29125AFE2F9DCB4DF1ED329561833518BEAB59805D1B2940B685E3038BAE5D77F386781FF0D911E05E5EA5E106BF297DACDD1209965299E33F639E2BC57077A4D64DF869A17F9EC77280B67FEBE1B9BF3B10203008CE3FE4AB47F1B87C1128FFF3CFB3A250DE42EC351970019F4298AE2DAC2408055118A9EA34F07CA9348DE78A883F92C6E56AF42DBB94B6672ED4DA054C54D8AF081D4BD243B5A31841F8E597323963014ECF840F402028A39DAB9913FB60DDF9DD109F7CE65F58A77823065CC1DE1EFDA9CBF8BB1E7A3C12158241F195152F46F039361AE24D224EB7CC5F2E926B8ABE146EFFA7B7EC590A2B585FE1C5D373B03C1F1A6722D5B30CAE3A80CBE759810017B2F2B41075245836C38AC8F135CD1D6BBC1F369155C059DDBA722D07136D2C0F9904F4DC21A2135BD9724734956614249191F8BC9F9CF5AFD03F36991BBAC1D93ECF414470578AF553CEFE25699A6645E227BBEFF892AEDD10A73588FF8A58ACD75C11122C01E72C2F87",0,"","",0,0.0000
"E1B93062F37788819C4830168451D073C524610BEAA333AE19C7810ED8DE6F1638ECCC6C37BE5F611A530E65B178AADF3BED83025D7716CE8A5C8C2B5EB1D935BA9F35808F0ECFC7FD2ACA3BF399CF93EE305FA792D862D8122D752B1781110EBA41C2A881039AAA5F3777B1192418F7490E945E22D53ACD08DC48971326741D476AAC469D16FFE48837DF01005383E2D9D59D282514758E883EAACEC8F4E3A5EAE95F879ED4725AA2B1F5064D62DA52CBDD2F8950127D4E9DDAB89909439F1195347BD76FC7D2DD1876475A170CF68631BEE3A2A74EFA3248A72B8CA493B2D86FFBF8619B370D8C120DDC4A69DB55FED45AAFDDE1F24FBF39DC6CB618A966DCAD4E69AA5CF3D8992DA405E2EBF5010FD287802FC5CAACB8A21FD3EBA9BF451BC94D650C709A2F2A36716E9109833A56456DD6CD391F8B31FE21DC5767F137BF8B5F7FD23B8F1A8223D502FD9D624BE9D060D17D683C7B548598E4182F303F43B1C35E709B5DB5EDF2ADCC1F83AADD3DEAB284E1C8ACA8BB0BAACF849F625E550272A48FC77C6BA265DF350AB81776C7E58FF39FAA921A24A4D6EAB1FE7D41EE2F7F9CC4D08CD926219421762503F7E431284AD671C4688EFC96A02AF5768F704BC6166336C8C5A2C39AB4BC9A2915BE7F3567B7EF0E75114094D3C0C737981824D766011F6DE2F7A05B7B58E974CB15437CFF2283060E32B39D10A5BEB5B067",0,"","",0,0.0000
