trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.424,13,50000,2025-10-23T16:42:39.631737
2,199,False,,0.42,13,50000,2025-10-23T16:42:40.052710
3,199,False,,0.471,13,50000,2025-10-23T16:42:40.524663
4,199,False,,0.496,13,50000,2025-10-23T16:42:41.021663
5,199,False,,0.463,13,50000,2025-10-23T16:42:41.485418
6,199,False,,0.44,13,50000,2025-10-23T16:42:41.926912
7,199,False,,0.497,13,50000,2025-10-23T16:42:42.425247
8,199,False,,0.46,13,50000,2025-10-23T16:42:42.885533
9,199,False,,0.449,13,50000,2025-10-23T16:42:43.335223
10,199,False,,0.439,13,50000,2025-10-23T16:42:43.774972
11,199,False,,0.437,13,50000,2025-10-23T16:42:44.213034
12,199,False,,0.433,13,50000,2025-10-23T16:42:44.646697
13,199,False,,0.421,13,50000,2025-10-23T16:42:45.068961
14,199,False,,0.425,13,50000,2025-10-23T16:42:45.495616
15,199,False,,0.423,13,50000,2025-10-23T16:42:45.919241
16,199,False,,0.425,13,50000,2025-10-23T16:42:46.344724
17,199,False,,0.422,13,50000,2025-10-23T16:42:46.768134
18,199,False,,0.42,13,50000,2025-10-23T16:42:47.188702
19,199,False,,0.419,13,50000,2025-10-23T16:42:47.608520
20,199,False,,0.42,13,50000,2025-10-23T16:42:48.029130
21,199,False,,0.421,13,50000,2025-10-23T16:42:48.450859
22,199,False,,0.417,13,50000,2025-10-23T16:42:48.868796
23,199,False,,0.42,13,50000,2025-10-23T16:42:49.289229
24,199,False,,0.417,13,50000,2025-10-23T16:42:49.707573
25,199,False,,0.418,13,50000,2025-10-23T16:42:50.126578
26,199,False,,0.42,13,50000,2025-10-23T16:42:50.547772
27,199,False,,0.423,13,50000,2025-10-23T16:42:50.971569
28,199,False,,0.42,13,50000,2025-10-23T16:42:51.392415
29,199,False,,0.42,13,50000,2025-10-23T16:42:51.812987
30,199,False,,0.42,13,50000,2025-10-23T16:42:52.234290
31,199,False,,0.42,13,50000,2025-10-23T16:42:52.655469
32,199,False,,0.42,13,50000,2025-10-23T16:42:53.076885
33,199,False,,0.421,13,50000,2025-10-23T16:42:53.499275
34,199,False,,0.422,13,50000,2025-10-23T16:42:53.922019
35,199,False,,0.419,13,50000,2025-10-23T16:42:54.341984
36,199,False,,0.42,13,50000,2025-10-23T16:42:54.763037
37,199,False,,0.42,13,50000,2025-10-23T16:42:55.184297
38,199,False,,0.421,13,50000,2025-10-23T16:42:55.605950
39,199,False,,0.421,13,50000,2025-10-23T16:42:56.028307
40,199,False,,0.42,13,50000,2025-10-23T16:42:56.449627
41,199,False,,0.421,13,50000,2025-10-23T16:42:56.871972
42,199,False,,0.421,13,50000,2025-10-23T16:42:57.293986
43,199,False,,0.42,13,50000,2025-10-23T16:42:57.715096
44,199,False,,0.422,13,50000,2025-10-23T16:42:58.137971
45,199,False,,0.421,13,50000,2025-10-23T16:42:58.560194
46,199,False,,0.42,13,50000,2025-10-23T16:42:58.980659
47,199,False,,0.421,13,50000,2025-10-23T16:42:59.402767
48,199,False,,0.421,13,50000,2025-10-23T16:42:59.825253
49,199,False,,0.42,13,50000,2025-10-23T16:43:00.246355
50,199,False,,0.42,13,50000,2025-10-23T16:43:00.667669
51,199,False,,0.421,13,50000,2025-10-23T16:43:01.089456
52,199,False,,0.422,13,50000,2025-10-23T16:43:01.512537
53,199,False,,0.42,13,50000,2025-10-23T16:43:01.933163
54,199,False,,0.421,13,50000,2025-10-23T16:43:02.354458
55,199,False,,0.422,13,50000,2025-10-23T16:43:02.777621
56,199,False,,0.421,13,50000,2025-10-23T16:43:03.199255
57,199,False,,0.42,13,50000,2025-10-23T16:43:03.619801
58,199,False,,0.425,13,50000,2025-10-23T16:43:04.045509
59,199,False,,0.422,13,50000,2025-10-23T16:43:04.468567
60,199,False,,0.42,13,50000,2025-10-23T16:43:04.890011
61,199,False,,0.421,13,50000,2025-10-23T16:43:05.311855
62,199,False,,0.421,13,50000,2025-10-23T16:43:05.734123
63,199,False,,0.421,13,50000,2025-10-23T16:43:06.155763
64,199,False,,0.423,13,50000,2025-10-23T16:43:06.579339
65,199,False,,0.419,13,50000,2025-10-23T16:43:06.999602
66,199,False,,0.421,13,50000,2025-10-23T16:43:07.421410
67,199,False,,0.421,13,50000,2025-10-23T16:43:07.843308
68,199,False,,0.42,13,50000,2025-10-23T16:43:08.264358
69,199,False,,0.421,13,50000,2025-10-23T16:43:08.686745
70,199,False,,0.42,13,50000,2025-10-23T16:43:09.107715
71,199,False,,0.42,13,50000,2025-10-23T16:43:09.529076
72,199,False,,0.421,13,50000,2025-10-23T16:43:09.951594
73,199,False,,0.42,13,50000,2025-10-23T16:43:10.372803
74,199,False,,0.42,13,50000,2025-10-23T16:43:10.794165
75,199,False,,0.42,13,50000,2025-10-23T16:43:11.214725
76,199,False,,0.421,13,50000,2025-10-23T16:43:11.636057
77,199,False,,0.42,13,50000,2025-10-23T16:43:12.057272
78,199,False,,0.42,13,50000,2025-10-23T16:43:12.479101
79,199,False,,0.421,13,50000,2025-10-23T16:43:12.900965
80,199,False,,0.421,13,50000,2025-10-23T16:43:13.323179
81,199,False,,0.42,13,50000,2025-10-23T16:43:13.743939
82,199,False,,0.42,13,50000,2025-10-23T16:43:14.164831
83,199,False,,0.421,13,50000,2025-10-23T16:43:14.586517
84,199,False,,0.42,13,50000,2025-10-23T16:43:15.007645
85,199,False,,0.421,13,50000,2025-10-23T16:43:15.429624
86,199,False,,0.422,13,50000,2025-10-23T16:43:15.852050
87,199,False,,0.419,13,50000,2025-10-23T16:43:16.272091
88,199,False,,0.42,13,50000,2025-10-23T16:43:16.693410
89,199,False,,0.422,13,50000,2025-10-23T16:43:17.116704
90,199,False,,0.423,13,50000,2025-10-23T16:43:17.540398
91,199,False,,0.421,13,50000,2025-10-23T16:43:17.962181
92,199,False,,0.421,13,50000,2025-10-23T16:43:18.384696
93,199,False,,0.421,13,50000,2025-10-23T16:43:18.806782
94,199,False,,0.42,13,50000,2025-10-23T16:43:19.227965
