trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.132,17,10000,2025-10-23T16:42:40.600939
2,199,False,,0.12,17,10000,2025-10-23T16:42:40.721759
3,199,False,,0.127,17,10000,2025-10-23T16:42:40.849501
4,199,False,,0.113,17,10000,2025-10-23T16:42:40.962913
5,199,False,,0.119,17,10000,2025-10-23T16:42:41.082800
6,199,False,,0.105,17,10000,2025-10-23T16:42:41.188178
7,199,False,,0.112,17,10000,2025-10-23T16:42:41.301161
8,199,False,,0.123,17,10000,2025-10-23T16:42:41.424796
9,199,False,,0.115,17,10000,2025-10-23T16:42:41.543572
10,199,False,,0.105,17,10000,2025-10-23T16:42:41.648775
11,199,False,,0.116,17,10000,2025-10-23T16:42:41.765474
12,199,False,,0.136,17,10000,2025-10-23T16:42:41.902339
13,199,False,,0.122,17,10000,2025-10-23T16:42:42.025667
14,199,False,,0.105,17,10000,2025-10-23T16:42:42.131386
15,199,False,,0.117,17,10000,2025-10-23T16:42:42.249038
16,199,False,,0.121,17,10000,2025-10-23T16:42:42.370451
17,199,False,,0.104,17,10000,2025-10-23T16:42:42.475132
18,199,False,,0.127,17,10000,2025-10-23T16:42:42.602324
19,199,False,,0.112,17,10000,2025-10-23T16:42:42.714789
20,199,False,,0.114,17,10000,2025-10-23T16:42:42.828889
21,199,False,,0.126,17,10000,2025-10-23T16:42:42.955376
22,199,False,,0.121,17,10000,2025-10-23T16:42:43.077139
23,199,False,,0.115,17,10000,2025-10-23T16:42:43.192550
24,199,False,,0.12,17,10000,2025-10-23T16:42:43.313210
25,199,False,,0.105,17,10000,2025-10-23T16:42:43.418436
26,199,False,,0.109,17,10000,2025-10-23T16:42:43.527934
27,199,False,,0.112,17,10000,2025-10-23T16:42:43.641093
28,199,False,,0.105,17,10000,2025-10-23T16:42:43.746925
29,199,False,,0.104,17,10000,2025-10-23T16:42:43.851547
30,199,False,,0.117,17,10000,2025-10-23T16:42:43.969408
31,199,False,,0.119,17,10000,2025-10-23T16:42:44.088844
32,199,False,,0.104,17,10000,2025-10-23T16:42:44.193717
33,199,False,,0.109,17,10000,2025-10-23T16:42:44.303050
34,199,False,,0.113,17,10000,2025-10-23T16:42:44.416720
35,199,False,,0.106,17,10000,2025-10-23T16:42:44.522861
36,199,False,,0.111,17,10000,2025-10-23T16:42:44.634569
37,199,False,,0.111,17,10000,2025-10-23T16:42:44.746385
38,199,False,,0.105,17,10000,2025-10-23T16:42:44.851382
39,199,False,,0.104,17,10000,2025-10-23T16:42:44.956755
40,199,False,,0.105,17,10000,2025-10-23T16:42:45.062391
41,199,False,,0.104,17,10000,2025-10-23T16:42:45.167447
42,199,False,,0.104,17,10000,2025-10-23T16:42:45.272207
43,199,False,,0.105,17,10000,2025-10-23T16:42:45.376973
44,199,False,,0.104,17,10000,2025-10-23T16:42:45.481945
45,199,False,,0.105,17,10000,2025-10-23T16:42:45.586912
46,199,False,,0.105,17,10000,2025-10-23T16:42:45.691838
47,199,False,,0.107,17,10000,2025-10-23T16:42:45.799577
48,199,False,,0.104,17,10000,2025-10-23T16:42:45.904477
49,199,False,,0.104,17,10000,2025-10-23T16:42:46.009145
50,199,False,,0.105,17,10000,2025-10-23T16:42:46.114676
51,199,False,,0.105,17,10000,2025-10-23T16:42:46.219882
52,199,False,,0.105,17,10000,2025-10-23T16:42:46.325361
53,199,False,,0.107,17,10000,2025-10-23T16:42:46.432802
