trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.508,15,50000,2025-10-23T16:42:40.409262
2,199,False,,0.551,15,50000,2025-10-23T16:42:40.961732
3,199,False,,0.523,15,50000,2025-10-23T16:42:41.486140
4,199,False,,0.515,15,50000,2025-10-23T16:42:42.002376
5,199,False,,0.509,15,50000,2025-10-23T16:42:42.512403
6,199,False,,0.511,15,50000,2025-10-23T16:42:43.024928
7,199,False,,0.545,15,50000,2025-10-23T16:42:43.571253
8,199,False,,0.487,15,50000,2025-10-23T16:42:44.059359
9,199,False,,0.488,15,50000,2025-10-23T16:42:44.548304
10,199,False,,0.485,15,50000,2025-10-23T16:42:45.034724
11,199,False,,0.474,15,50000,2025-10-23T16:42:45.510253
12,199,False,,0.473,15,50000,2025-10-23T16:42:45.984084
13,199,False,,0.476,15,50000,2025-10-23T16:42:46.461411
14,199,False,,0.47,15,50000,2025-10-23T16:42:46.932861
15,199,False,,0.471,15,50000,2025-10-23T16:42:47.404668
16,199,False,,0.47,15,50000,2025-10-23T16:42:47.876071
17,199,False,,0.468,15,50000,2025-10-23T16:42:48.344977
18,199,False,,0.469,15,50000,2025-10-23T16:42:48.814803
19,199,False,,0.469,15,50000,2025-10-23T16:42:49.284470
20,199,False,,0.47,15,50000,2025-10-23T16:42:49.755295
21,199,False,,0.47,15,50000,2025-10-23T16:42:50.226148
22,199,False,,0.468,15,50000,2025-10-23T16:42:50.695402
23,199,False,,0.469,15,50000,2025-10-23T16:42:51.165676
24,199,False,,0.469,15,50000,2025-10-23T16:42:51.635838
25,199,False,,0.469,15,50000,2025-10-23T16:42:52.106081
26,199,False,,0.47,15,50000,2025-10-23T16:42:52.577251
27,199,False,,0.47,15,50000,2025-10-23T16:42:53.048193
28,199,False,,0.471,15,50000,2025-10-23T16:42:53.519938
29,199,False,,0.469,15,50000,2025-10-23T16:42:53.989879
30,199,False,,0.468,15,50000,2025-10-23T16:42:54.459155
31,199,False,,0.469,15,50000,2025-10-23T16:42:54.928581
32,199,False,,0.47,15,50000,2025-10-23T16:42:55.399398
33,199,False,,0.469,15,50000,2025-10-23T16:42:55.869523
34,199,False,,0.469,15,50000,2025-10-23T16:42:56.339229
35,199,False,,0.469,15,50000,2025-10-23T16:42:56.809155
36,199,False,,0.47,15,50000,2025-10-23T16:42:57.280027
37,199,False,,0.47,15,50000,2025-10-23T16:42:57.751020
38,199,False,,0.47,15,50000,2025-10-23T16:42:58.221579
39,199,False,,0.469,15,50000,2025-10-23T16:42:58.691785
40,199,False,,0.469,15,50000,2025-10-23T16:42:59.161636
41,199,False,,0.468,15,50000,2025-10-23T16:42:59.630959
42,199,False,,0.47,15,50000,2025-10-23T16:43:00.101658
43,199,False,,0.47,15,50000,2025-10-23T16:43:00.572027
44,199,False,,0.471,15,50000,2025-10-23T16:43:01.044009
45,199,False,,0.471,15,50000,2025-10-23T16:43:01.515673
46,199,False,,0.469,15,50000,2025-10-23T16:43:01.985222
47,199,False,,0.471,15,50000,2025-10-23T16:43:02.457227
48,199,False,,0.469,15,50000,2025-10-23T16:43:02.927610
49,199,False,,0.471,15,50000,2025-10-23T16:43:03.399734
50,199,False,,0.472,15,50000,2025-10-23T16:43:03.872651
51,199,False,,0.47,15,50000,2025-10-23T16:43:04.343264
52,199,False,,0.468,15,50000,2025-10-23T16:43:04.812545
53,199,False,,0.471,15,50000,2025-10-23T16:43:05.284910
54,199,False,,0.47,15,50000,2025-10-23T16:43:05.755847
55,199,False,,0.47,15,50000,2025-10-23T16:43:06.226922
56,199,False,,0.47,15,50000,2025-10-23T16:43:06.698096
57,199,False,,0.47,15,50000,2025-10-23T16:43:07.168530
58,199,False,,0.471,15,50000,2025-10-23T16:43:07.640163
59,199,False,,0.471,15,50000,2025-10-23T16:43:08.111869
60,199,False,,0.469,15,50000,2025-10-23T16:43:08.581426
61,199,False,,0.47,15,50000,2025-10-23T16:43:09.051881
62,199,False,,0.472,15,50000,2025-10-23T16:43:09.525096
63,199,False,,0.468,15,50000,2025-10-23T16:43:09.993967
64,199,False,,0.472,15,50000,2025-10-23T16:43:10.466949
65,199,False,,0.471,15,50000,2025-10-23T16:43:10.938507
66,199,False,,0.471,15,50000,2025-10-23T16:43:11.411140
67,199,False,,0.47,15,50000,2025-10-23T16:43:11.882121
68,199,False,,0.469,15,50000,2025-10-23T16:43:12.352245
69,199,False,,0.469,15,50000,2025-10-23T16:43:12.822579
70,199,False,,0.47,15,50000,2025-10-23T16:43:13.293007
71,199,False,,0.468,15,50000,2025-10-23T16:43:13.762469
72,199,False,,0.468,15,50000,2025-10-23T16:43:14.231451
73,199,False,,0.47,15,50000,2025-10-23T16:43:14.702451
74,199,False,,0.468,15,50000,2025-10-23T16:43:15.171648
75,199,False,,0.471,15,50000,2025-10-23T16:43:15.643444
76,199,False,,0.469,15,50000,2025-10-23T16:43:16.113491
77,199,False,,0.469,15,50000,2025-10-23T16:43:16.583212
78,199,False,,0.469,15,50000,2025-10-23T16:43:17.053744
79,199,False,,0.468,15,50000,2025-10-23T16:43:17.523032
80,199,False,,0.47,15,50000,2025-10-23T16:43:17.994662
81,199,False,,0.471,15,50000,2025-10-23T16:43:18.467118
82,199,False,,0.47,15,50000,2025-10-23T16:43:18.937913
83,199,False,,0.471,15,50000,2025-10-23T16:43:19.409396
84,199,False,,0.471,15,50000,2025-10-23T16:43:19.881023
85,199,False,,0.47,15,50000,2025-10-23T16:43:20.351554
86,199,False,,0.472,15,50000,2025-10-23T16:43:20.824128
87,199,False,,0.471,15,50000,2025-10-23T16:43:21.295621
88,199,False,,0.471,15,50000,2025-10-23T16:43:21.767352
89,199,False,,0.47,15,50000,2025-10-23T16:43:22.238693
90,199,False,,0.466,15,50000,2025-10-23T16:43:22.705157
91,199,False,,0.464,15,50000,2025-10-23T16:43:23.170421
92,199,False,,0.466,15,50000,2025-10-23T16:43:23.637890
93,199,False,,0.466,15,50000,2025-10-23T16:43:24.105226
94,199,False,,0.466,15,50000,2025-10-23T16:43:24.571983
95,199,False,,0.464,15,50000,2025-10-23T16:43:25.037203
96,199,False,,0.466,15,50000,2025-10-23T16:43:25.503865
