trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.085,13,10000,2025-10-23T16:42:39.185904
2,199,False,,0.085,13,10000,2025-10-23T16:42:39.271858
3,199,False,,0.085,13,10000,2025-10-23T16:42:39.357594
4,199,False,,0.085,13,10000,2025-10-23T16:42:39.443005
5,199,False,,0.084,13,10000,2025-10-23T16:42:39.527804
6,199,False,,0.084,13,10000,2025-10-23T16:42:39.613058
7,199,False,,0.083,13,10000,2025-10-23T16:42:39.697252
8,199,False,,0.084,13,10000,2025-10-23T16:42:39.781815
9,199,False,,0.084,13,10000,2025-10-23T16:42:39.866424
10,199,False,,0.085,13,10000,2025-10-23T16:42:39.952015
11,199,False,,0.085,13,10000,2025-10-23T16:42:40.037712
12,199,False,,0.085,13,10000,2025-10-23T16:42:40.123286
13,199,False,,0.108,13,10000,2025-10-23T16:42:40.231932
14,199,False,,0.086,13,10000,2025-10-23T16:42:40.318932
15,199,False,,0.101,13,10000,2025-10-23T16:42:40.420397
16,199,False,,0.085,13,10000,2025-10-23T16:42:40.505732
17,199,False,,0.098,13,10000,2025-10-23T16:42:40.604309
18,199,False,,0.084,13,10000,2025-10-23T16:42:40.689101
19,199,False,,0.091,13,10000,2025-10-23T16:42:40.780849
20,199,False,,0.115,13,10000,2025-10-23T16:42:40.895923
21,199,False,,0.096,13,10000,2025-10-23T16:42:40.992191
22,199,False,,0.088,13,10000,2025-10-23T16:42:41.080994
23,199,False,,0.085,13,10000,2025-10-23T16:42:41.166212
24,199,False,,0.092,13,10000,2025-10-23T16:42:41.259184
25,199,False,,0.084,13,10000,2025-10-23T16:42:41.344229
26,199,False,,0.089,13,10000,2025-10-23T16:42:41.433289
27,199,False,,0.095,13,10000,2025-10-23T16:42:41.528646
28,199,False,,0.092,13,10000,2025-10-23T16:42:41.621880
29,199,False,,0.084,13,10000,2025-10-23T16:42:41.706563
30,199,False,,0.084,13,10000,2025-10-23T16:42:41.791210
31,199,False,,0.094,13,10000,2025-10-23T16:42:41.885472
32,199,False,,0.099,13,10000,2025-10-23T16:42:41.984899
33,199,False,,0.093,13,10000,2025-10-23T16:42:42.078858
34,199,False,,0.094,13,10000,2025-10-23T16:42:42.173723
35,199,False,,0.104,13,10000,2025-10-23T16:42:42.278635
36,199,False,,0.092,13,10000,2025-10-23T16:42:42.370901
37,199,False,,0.094,13,10000,2025-10-23T16:42:42.465812
38,199,False,,0.09,13,10000,2025-10-23T16:42:42.557077
39,199,False,,0.093,13,10000,2025-10-23T16:42:42.651445
40,199,False,,0.098,13,10000,2025-10-23T16:42:42.750292
41,199,False,,0.085,13,10000,2025-10-23T16:42:42.836083
42,199,False,,0.094,13,10000,2025-10-23T16:42:42.930344
43,199,False,,0.099,13,10000,2025-10-23T16:42:43.029430
44,199,False,,0.089,13,10000,2025-10-23T16:42:43.118707
45,199,False,,0.11,13,10000,2025-10-23T16:42:43.230635
46,199,False,,0.101,13,10000,2025-10-23T16:42:43.332237
47,199,False,,0.099,13,10000,2025-10-23T16:42:43.432019
48,199,False,,0.092,13,10000,2025-10-23T16:42:43.524915
49,199,False,,0.092,13,10000,2025-10-23T16:42:43.616749
50,199,False,,0.084,13,10000,2025-10-23T16:42:43.701704
51,199,False,,0.09,13,10000,2025-10-23T16:42:43.792538
52,199,False,,0.085,13,10000,2025-10-23T16:42:43.877541
53,199,False,,0.096,13,10000,2025-10-23T16:42:43.974326
54,199,False,,0.087,13,10000,2025-10-23T16:42:44.061193
55,199,False,,0.085,13,10000,2025-10-23T16:42:44.146421
56,199,False,,0.084,13,10000,2025-10-23T16:42:44.231115
57,199,False,,0.089,13,10000,2025-10-23T16:42:44.320441
58,199,False,,0.085,13,10000,2025-10-23T16:42:44.405632
