id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,200,ZNeighborhood,10002,8,true,5692,30.08
1,200,ZNeighborhood,10002,4,true,2382,30.13
2,200,ZNeighborhood,10002,3,true,592,30.13
3,200,ZNeighborhood,10002,5,true,3588,30.08
4,200,ZNeighborhood,10002,5,true,5417,30.13
0,210,ZNeighborhood,10002,6,true,5692,28.70
1,210,ZNeighborhood,10002,3,true,2382,28.66
2,210,ZNeighborhood,10002,2,true,592,28.66
3,210,ZNeighborhood,10002,3,true,3588,28.66
4,210,ZNeighborhood,10002,5,true,5417,28.66
0,220,ZNeighborhood,10002,5,true,5692,27.37
1,220,ZNeighborhood,10002,3,true,2382,27.37
2,220,ZNeighborhood,10002,2,true,592,27.37
3,220,ZNeighborhood,10002,4,true,3588,27.40
4,220,ZNeighborhood,10002,6,true,5417,27.37
0,230,ZNeighborhood,10002,6,true,5692,26.18
1,230,ZNeighborhood,10002,3,true,2382,26.18
2,230,ZNeighborhood,10002,3,true,592,26.15
3,230,ZNeighborhood,10002,4,true,3588,26.18
4,230,ZNeighborhood,10002,5,true,5417,26.18
0,240,ZNeighborhood,10002,6,true,5692,25.07
1,240,ZNeighborhood,10002,3,true,2382,25.07
2,240,ZNeighborhood,10002,2,true,592,25.10
3,240,ZNeighborhood,10002,5,true,3588,25.07
4,240,ZNeighborhood,10002,6,true,5417,25.10
0,245,ZNeighborhood,10002,6,true,5692,24.57
1,245,ZNeighborhood,10002,3,true,2382,24.61
2,245,ZNeighborhood,10002,2,true,592,24.61
3,245,ZNeighborhood,10002,4,true,3588,24.61
4,245,ZNeighborhood,10002,6,true,5417,24.57
0,248,ZNeighborhood,10002,5,true,5692,24.28
1,248,ZNeighborhood,10002,3,true,2382,24.28
2,248,ZNeighborhood,10002,2,true,592,24.28
3,248,ZNeighborhood,10002,4,true,3588,24.28
4,248,ZNeighborhood,10002,5,true,5417,24.28
0,250,ZNeighborhood,10002,6,true,5692,24.07
1,250,ZNeighborhood,10002,3,true,2382,24.10
2,250,ZNeighborhood,10002,3,true,592,24.10
3,250,ZNeighborhood,10002,4,true,3588,24.07
4,250,ZNeighborhood,10002,5,true,5417,24.10
