trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.6,17,50000,2025-10-23T16:42:41.251958
2,199,False,,0.541,17,50000,2025-10-23T16:42:41.794664
3,199,False,,0.579,17,50000,2025-10-23T16:42:42.374936
4,199,False,,0.6,17,50000,2025-10-23T16:42:42.975550
5,199,False,,0.555,17,50000,2025-10-23T16:42:43.531215
6,199,False,,0.543,17,50000,2025-10-23T16:42:44.075320
7,199,False,,0.537,17,50000,2025-10-23T16:42:44.613830
8,199,False,,0.533,17,50000,2025-10-23T16:42:45.147874
9,199,False,,0.525,17,50000,2025-10-23T16:42:45.674096
10,199,False,,0.53,17,50000,2025-10-23T16:42:46.205300
11,199,False,,0.521,17,50000,2025-10-23T16:42:46.727931
12,199,False,,0.525,17,50000,2025-10-23T16:42:47.253935
13,199,False,,0.525,17,50000,2025-10-23T16:42:47.780148
14,199,False,,0.521,17,50000,2025-10-23T16:42:48.302136
15,199,False,,0.519,17,50000,2025-10-23T16:42:48.821920
16,199,False,,0.519,17,50000,2025-10-23T16:42:49.342230
17,199,False,,0.52,17,50000,2025-10-23T16:42:49.863173
18,199,False,,0.521,17,50000,2025-10-23T16:42:50.384676
19,199,False,,0.519,17,50000,2025-10-23T16:42:50.904501
20,199,False,,0.52,17,50000,2025-10-23T16:42:51.425190
21,199,False,,0.52,17,50000,2025-10-23T16:42:51.946141
22,199,False,,0.521,17,50000,2025-10-23T16:42:52.467795
23,199,False,,0.52,17,50000,2025-10-23T16:42:52.989081
24,199,False,,0.521,17,50000,2025-10-23T16:42:53.510837
25,199,False,,0.52,17,50000,2025-10-23T16:42:54.031626
26,199,False,,0.52,17,50000,2025-10-23T16:42:54.552100
27,199,False,,0.521,17,50000,2025-10-23T16:42:55.073866
28,199,False,,0.52,17,50000,2025-10-23T16:42:55.595081
29,199,False,,0.521,17,50000,2025-10-23T16:42:56.117227
30,199,False,,0.519,17,50000,2025-10-23T16:42:56.637168
31,199,False,,0.522,17,50000,2025-10-23T16:42:57.159857
32,199,False,,0.521,17,50000,2025-10-23T16:42:57.682291
33,199,False,,0.52,17,50000,2025-10-23T16:42:58.203701
34,199,False,,0.524,17,50000,2025-10-23T16:42:58.728665
35,199,False,,0.519,17,50000,2025-10-23T16:42:59.248809
36,199,False,,0.52,17,50000,2025-10-23T16:42:59.770038
37,199,False,,0.522,17,50000,2025-10-23T16:43:00.293191
38,199,False,,0.521,17,50000,2025-10-23T16:43:00.815269
39,199,False,,0.523,17,50000,2025-10-23T16:43:01.339694
40,199,False,,0.523,17,50000,2025-10-23T16:43:01.863733
41,199,False,,0.522,17,50000,2025-10-23T16:43:02.386763
42,199,False,,0.519,17,50000,2025-10-23T16:43:02.906960
43,199,False,,0.521,17,50000,2025-10-23T16:43:03.428923
44,199,False,,0.521,17,50000,2025-10-23T16:43:03.950599
45,199,False,,0.522,17,50000,2025-10-23T16:43:04.473079
46,199,False,,0.522,17,50000,2025-10-23T16:43:04.996277
47,199,False,,0.522,17,50000,2025-10-23T16:43:05.519366
48,199,False,,0.519,17,50000,2025-10-23T16:43:06.039628
49,199,False,,0.521,17,50000,2025-10-23T16:43:06.561415
50,199,False,,0.523,17,50000,2025-10-23T16:43:07.085613
51,199,False,,0.522,17,50000,2025-10-23T16:43:07.608970
52,199,False,,0.519,17,50000,2025-10-23T16:43:08.129327
53,199,False,,0.522,17,50000,2025-10-23T16:43:08.652391
54,199,False,,0.523,17,50000,2025-10-23T16:43:09.176277
55,199,False,,0.522,17,50000,2025-10-23T16:43:09.698948
56,199,False,,0.521,17,50000,2025-10-23T16:43:10.221076
57,199,False,,0.522,17,50000,2025-10-23T16:43:10.744059
58,199,False,,0.519,17,50000,2025-10-23T16:43:11.264509
59,199,False,,0.524,17,50000,2025-10-23T16:43:11.789413
60,199,False,,0.52,17,50000,2025-10-23T16:43:12.310480
61,199,False,,0.521,17,50000,2025-10-23T16:43:12.832392
62,199,False,,0.52,17,50000,2025-10-23T16:43:13.353305
63,199,False,,0.519,17,50000,2025-10-23T16:43:13.873063
64,199,False,,0.521,17,50000,2025-10-23T16:43:14.394504
65,199,False,,0.518,17,50000,2025-10-23T16:43:14.913573
66,199,False,,0.52,17,50000,2025-10-23T16:43:15.435164
