trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.047,15,5000,2025-10-23T16:42:39.559133
2,199,False,,0.047,15,5000,2025-10-23T16:42:39.607136
3,199,False,,0.048,15,5000,2025-10-23T16:42:39.655121
4,199,False,,0.047,15,5000,2025-10-23T16:42:39.703068
5,199,False,,0.048,15,5000,2025-10-23T16:42:39.751320
6,199,False,,0.047,15,5000,2025-10-23T16:42:39.799518
7,199,False,,0.047,15,5000,2025-10-23T16:42:39.847521
8,199,False,,0.047,15,5000,2025-10-23T16:42:39.895113
9,199,False,,0.047,15,5000,2025-10-23T16:42:39.942956
10,199,False,,0.047,15,5000,2025-10-23T16:42:39.990615
11,199,False,,0.047,15,5000,2025-10-23T16:42:40.038553
12,199,False,,0.048,15,5000,2025-10-23T16:42:40.086500
13,199,False,,0.047,15,5000,2025-10-23T16:42:40.134540
14,199,False,,0.072,15,5000,2025-10-23T16:42:40.207925
15,199,False,,0.047,15,5000,2025-10-23T16:42:40.255614
16,199,False,,0.048,15,5000,2025-10-23T16:42:40.303562
17,199,False,,0.047,15,5000,2025-10-23T16:42:40.350982
18,199,False,,0.052,15,5000,2025-10-23T16:42:40.403390
19,199,False,,0.06,15,5000,2025-10-23T16:42:40.464045
20,199,False,,0.073,15,5000,2025-10-23T16:42:40.538283
21,199,False,,0.055,15,5000,2025-10-23T16:42:40.593574
22,199,False,,0.047,15,5000,2025-10-23T16:42:40.640966
23,199,False,,0.047,15,5000,2025-10-23T16:42:40.688310
24,199,False,,0.056,15,5000,2025-10-23T16:42:40.744641
25,199,False,,0.051,15,5000,2025-10-23T16:42:40.796536
26,199,False,,0.047,15,5000,2025-10-23T16:42:40.843770
27,199,False,,0.047,15,5000,2025-10-23T16:42:40.891346
28,199,False,,0.064,15,5000,2025-10-23T16:42:40.956415
29,199,False,,0.057,15,5000,2025-10-23T16:42:41.013948
30,199,False,,0.067,15,5000,2025-10-23T16:42:41.081085
31,199,False,,0.047,15,5000,2025-10-23T16:42:41.128368
32,199,False,,0.059,15,5000,2025-10-23T16:42:41.187820
33,199,False,,0.08,15,5000,2025-10-23T16:42:41.268742
34,199,False,,0.047,15,5000,2025-10-23T16:42:41.316096
35,199,False,,0.055,15,5000,2025-10-23T16:42:41.370922
36,199,False,,0.054,15,5000,2025-10-23T16:42:41.424888
37,199,False,,0.062,15,5000,2025-10-23T16:42:41.486815
38,199,False,,0.08,15,5000,2025-10-23T16:42:41.567439
39,199,False,,0.047,15,5000,2025-10-23T16:42:41.615340
40,199,False,,0.047,15,5000,2025-10-23T16:42:41.662934
41,199,False,,0.077,15,5000,2025-10-23T16:42:41.740348
42,199,False,,0.047,15,5000,2025-10-23T16:42:41.787764
43,199,False,,0.047,15,5000,2025-10-23T16:42:41.834896
44,199,False,,0.047,15,5000,2025-10-23T16:42:41.882321
45,199,False,,0.048,15,5000,2025-10-23T16:42:41.931068
46,199,False,,0.047,15,5000,2025-10-23T16:42:41.978423
47,199,False,,0.055,15,5000,2025-10-23T16:42:42.035804
48,199,False,,0.063,15,5000,2025-10-23T16:42:42.099743
49,199,False,,0.056,15,5000,2025-10-23T16:42:42.156293
50,199,False,,0.047,15,5000,2025-10-23T16:42:42.204022
51,199,False,,0.055,15,5000,2025-10-23T16:42:42.259783
52,199,False,,0.054,15,5000,2025-10-23T16:42:42.314245
53,199,False,,0.054,15,5000,2025-10-23T16:42:42.368796
54,199,False,,0.055,15,5000,2025-10-23T16:42:42.423798
55,199,False,,0.047,15,5000,2025-10-23T16:42:42.471254
56,199,False,,0.057,15,5000,2025-10-23T16:42:42.528915
57,199,False,,0.059,15,5000,2025-10-23T16:42:42.588329
58,199,False,,0.056,15,5000,2025-10-23T16:42:42.644453
59,199,False,,0.047,15,5000,2025-10-23T16:42:42.692073
60,199,False,,0.053,15,5000,2025-10-23T16:42:42.745086
61,199,False,,0.047,15,5000,2025-10-23T16:42:42.792682
62,199,False,,0.056,15,5000,2025-10-23T16:42:42.849427
63,199,False,,0.054,15,5000,2025-10-23T16:42:42.904026
64,199,False,,0.047,15,5000,2025-10-23T16:42:42.951349
65,199,False,,0.055,15,5000,2025-10-23T16:42:43.007064
66,199,False,,0.052,15,5000,2025-10-23T16:42:43.059963
67,199,False,,0.073,15,5000,2025-10-23T16:42:43.133679
68,199,False,,0.056,15,5000,2025-10-23T16:42:43.189689
69,199,False,,0.058,15,5000,2025-10-23T16:42:43.248018
70,199,False,,0.049,15,5000,2025-10-23T16:42:43.297673
71,199,False,,0.069,15,5000,2025-10-23T16:42:43.367316
72,199,False,,0.047,15,5000,2025-10-23T16:42:43.414937
73,199,False,,0.048,15,5000,2025-10-23T16:42:43.463742
74,199,False,,0.047,15,5000,2025-10-23T16:42:43.511171
