base,trial,N,p,q,success,factor_found,time_seconds,dims,search_range,timestamp
phi,1,652258234639203485714378993478734031993247822770322578698999,807625058204117070419523025619,807625058204117070419523619021,False,,2.353,13,10000,2025-10-23T17:25:32.629685
sqrt2,1,652258234639203485714378993478734031993247822770322578698999,807625058204117070419523025619,807625058204117070419523619021,False,,2.338,13,10000,2025-10-23T17:25:34.968820
pi,1,652258234639203485714378993478734031993247822770322578698999,807625058204117070419523025619,807625058204117070419523619021,False,,2.56,13,10000,2025-10-23T17:25:37.529203
