Iteration,Value
11,1000151
13,1000159
17,999793
29,1000319
30,999773
56,999853
62,999619
64,999701
68,1000369
13,271343819
15,271337119
18,271341437
23,271338059
36,271335971
37,271348601
40,271344701
41,271332967
44,271338107
